X;A;B;f:calls()
-52;-5.99488;14.2474;25;
12;-3.40702;1.30068;18;
95;56.6624;68.3767;23;
84;57.3767;65.5116;21;
-89;-9.50315;25.4755;28;
10;-2.83918;1.0839;17;
-17;-1.59298;5.18611;19;
-79;-12.7526;16.3962;27;
32;-6.3376;5.37667;23;
-59;-12.9949;7.24737;25;
71;60.3007;63.5699;16;
28;-3.948;5.81389;22;
-74;-7.75263;21.3962;27;
76;60.593;65.3007;18;
-14;-3.30068;1.40702;17;
-62;-6.79386;17.4968;26;
57;62.1598;64.4301;13;
37;-9.00512;5.052;24;
29;-2.948;6.81389;22;
89;57.052;66.8139;22;
6;-1.43008;0.84022;14;
-64;-8.79386;15.4968;26;
-1;-1;0.2;3;
2;-0.48832;0.272;8;
46;58.8392;64.4884;18;
-66;-10.7939;13.4968;26;
28;-3.948;5.81389;22;
-29;-6.81389;2.948;21;
-97;-17.5032;17.4755;28;
-28;-5.81389;3.948;21;
-13;-2.30068;2.40702;17;
-53;-6.99488;13.2474;25;
17;-5.18611;1.59298;20;
-73;-6.75263;22.3962;27;
-10;-1.0839;2.83918;16;
19;-3.18611;3.59298;20;
-82;-15.7526;13.3962;27;
-99;-19.5032;15.4755;28;
-47;-8.6624;8.20614;24;
3;-0.583181;0.51168;10;
33;-5.3376;6.37667;23;
-90;-10.5032;24.4755;28;
-5;-0.700183;1.19174;12;
64;62.56;63;5;
-27;-4.81389;4.948;21;
-85;-18.7526;10.3962;27;
-12;-1.30068;3.40702;17;
-24;-5.51157;2.62333;20;
-83;-16.7526;12.3962;27;
81;58.8139;65.593;20;
-16;-3.16082;2.48843;18;
-90;-10.5032;24.4755;28;
-97;-17.5032;17.4755;28;
79;60.5116;66.1608;19;
21;-5.62333;2.51157;21;
-99;-19.5032;15.4755;28;
91;59.052;68.8139;22;
49;59.6993;64.407;17;
33;-5.3376;6.37667;23;
-37;-5.052;9.00512;23;
83;60.8139;67.593;20;
10;-2.83918;1.0839;17;
-9;-1.56992;1.69932;15;
-35;-8.37667;3.3376;22;
-9;-1.56992;1.69932;15;
-100;-20.5032;14.4755;28;
-12;-1.30068;3.40702;17;
52;60.9161;64.8392;16;
34;-4.3376;7.37667;23;
46;58.8392;64.4884;18;
-21;-2.51157;5.62333;20;
100;53.9949;68.052;24;
85;58.3767;66.5116;21;
28;-3.948;5.81389;22;
-98;-18.5032;16.4755;28;
-8;-1.80826;0.9161;14;
33;-5.3376;6.37667;23;
50;60.6993;65.407;17;
-85;-18.7526;10.3962;27;
54;61.4301;64.6993;15;
51;59.9161;63.8392;16;
-18;-2.59298;4.18611;19;
25;-6.948;2.81389;22;
-22;-3.51157;4.62333;20;
50;60.6993;65.407;17;
-58;-11.9949;8.24737;25;
67;61.8402;63.4168;12;
-33;-6.37667;5.3376;22;
-79;-12.7526;16.3962;27;
0;-1;1;3;
-35;-8.37667;3.3376;22;
89;57.052;66.8139;22;
-79;-12.7526;16.3962;27;
78;59.5116;65.1608;19;
100;53.9949;68.052;24;
-46;-7.6624;9.20614;24;
15;-3.48843;2.16082;19;
61;62.44;63.0736;6;
50;60.6993;65.407;17;
42;-4.00512;10.052;24;
